node_id,feature_id,value
0,0,0.0001
0,1,0.0001
0,2,0.0001
0,3,0.0001
0,4,0.0001
0,5,1.0001
0,6,0.0001
0,7,0.0001
0,8,0.0001
0,9,0.0001
0,10,0.0001
1,0,0.0001
1,1,0.0001
1,2,0.0001
1,3,0.0001
1,4,0.0001
1,5,1.0001
1,6,0.0001
1,7,0.0001
1,8,0.0001
1,9,0.0001
1,10,0.0001
2,0,0.0001
2,1,0.0001
2,2,0.0001
2,3,0.0001
2,4,0.0001
2,5,0.0001
2,6,0.0001
2,7,0.0001
2,8,0.0001
2,9,0.0001
2,10,0.0001
3,0,0.0001
3,1,0.0001
3,2,0.0001
3,3,0.0001
3,4,0.0001
3,5,0.0001
3,6,0.0001
3,7,0.0001
3,8,0.0001
3,9,0.0001
3,10,0.0001
4,0,0.0001
4,1,0.0001
4,2,0.0001
4,3,0.0001
4,4,0.0001
4,5,0.0001
4,6,0.0001
4,7,0.0001
4,8,0.0001
4,9,0.0001
4,10,0.0001
5,0,0.0001
5,1,0.0001
5,2,0.0001
5,3,0.0001
5,4,0.0001
5,5,0.0001
5,6,0.0001
5,7,0.0001
5,8,0.0001
5,9,0.0001
5,10,0.0001
6,0,1.0001
6,1,0.0001
6,2,0.0001
6,3,0.0001
6,4,0.0001
6,5,4.0001
6,6,0.0001
6,7,0.0001
6,8,0.0001
6,9,0.0001
6,10,1.0001
7,0,1.0001
7,1,0.0001
7,2,0.0001
7,3,0.0001
7,4,0.0001
7,5,4.0001
7,6,0.0001
7,7,0.0001
7,8,0.0001
7,9,0.0001
7,10,1.0001
8,0,0.0001
8,1,0.0001
8,2,0.0001
8,3,0.0001
8,4,0.0001
8,5,0.0001
8,6,0.0001
8,7,0.0001
8,8,0.0001
8,9,0.0001
8,10,0.0001
9,0,0.0001
9,1,0.0001
9,2,0.0001
9,3,0.0001
9,4,0.0001
9,5,0.0001
9,6,0.0001
9,7,0.0001
9,8,0.0001
9,9,0.0001
9,10,0.0001
10,0,0.0001
10,1,574.0001
10,2,1056.0001
10,3,98.0001
10,4,97.0001
10,5,1052.0001
10,6,95.0001
10,7,92.0001
10,8,3.0000999999999998
10,9,11.0001
10,10,0.0001
11,0,100.0001
11,1,402.0001
11,2,471.0001
11,3,128.0001
11,4,34.0001
11,5,69.0001
11,6,258.0001
11,7,263.0001
11,8,1.0001
11,9,1.0001
11,10,78.0001
12,0,874.0001
12,1,648.0001
12,2,258.0001
12,3,35.0001
12,4,7.0001
12,5,46.0001
12,6,1932.0001
12,7,1852.0001
12,8,0.0001
12,9,0.0001
12,10,729.0001
13,0,364.0001
13,1,19.0001
13,2,43.0001
13,3,4.0001
13,4,0.0001
13,5,2.0000999999999998
13,6,0.0001
13,7,3.0000999999999998
13,8,0.0001
13,9,0.0001
13,10,386.0001
14,0,0.0001
14,1,0.0001
14,2,0.0001
14,3,0.0001
14,4,0.0001
14,5,4.0001
14,6,0.0001
14,7,0.0001
14,8,0.0001
14,9,0.0001
14,10,0.0001
15,0,0.0001
15,1,0.0001
15,2,0.0001
15,3,0.0001
15,4,0.0001
15,5,0.0001
15,6,0.0001
15,7,0.0001
15,8,0.0001
15,9,4.0001
15,10,0.0001
16,0,1.0001
16,1,0.0001
16,2,0.0001
16,3,0.0001
16,4,0.0001
16,5,0.0001
16,6,0.0001
16,7,0.0001
16,8,0.0001
16,9,9.0001
16,10,1.0001
17,0,1.0001
17,1,0.0001
17,2,0.0001
17,3,0.0001
17,4,0.0001
17,5,0.0001
17,6,0.0001
17,7,0.0001
17,8,0.0001
17,9,0.0001
17,10,1.0001
18,0,16.0001
18,1,4.0001
18,2,8.0001
18,3,0.0001
18,4,0.0001
18,5,8.0001
18,6,0.0001
18,7,0.0001
18,8,0.0001
18,9,0.0001
18,10,11.0001
19,0,70.0001
19,1,9.0001
19,2,4.0001
